index,location,type,count,date
134,Discovery Middle,Students,1,2021-08-11
135,Endeavor Elementary,Students,1,2021-08-11
136,Jones High,Students,1,2021-08-11
137,Lake Buena Vista High,Students,2,2021-08-11
138,Lake Nona High,Students,1,2021-08-11
139,Lake Nona Middle,Students,1,2021-08-11
140,Lancaster Elementary,Students,1,2021-08-11
141,Lockhart Elementary,Students,1,2021-08-11
142,Meadow Woods Middle,Students,1,2021-08-11
143,Memorial Middle,Students,1,2021-08-11
144,Moss Park Elementary,Students,4,2021-08-11
145,Oak Hill Elementary,Students,2,2021-08-11
146,Ocoee High,Students,1,2021-08-11
147,Ocoee Middle,Students,1,2021-08-11
148,Orange Center Elementary,Students,1,2021-08-11
149,Orange Technical College - Westside,Students,1,2021-08-11
150,Palmetto Elementary,Students,1,2021-08-11
151,Prairie Lake Elementary,Students,1,2021-08-11
152,Riverdale Elementary,Students,1,2021-08-11
153,Summerlake Elementary,Students,2,2021-08-11
154,Tildenville Elementary,Students,1,2021-08-11
155,Timber Creek High,Students,1,2021-08-11
156,Timber Lakes Elementary,Students,2,2021-08-11
157,Timber Springs Middle,Students,1,2021-08-11
158,University High,Students,2,2021-08-11
159,Wekiva High,Students,1,2021-08-11
160,West Oaks Elementary,Students,1,2021-08-11
161,West Orange High,Students,1,2021-08-11
162,Westpointe Elementary,Students,1,2021-08-11
163,Westridge Middle,Students,1,2021-08-11
164,Windy Ridge School (K-8),Students,1,2021-08-11
165,Azalea Park Elementary,Students,1,2021-08-10
166,Castle Creek Elementary,Students,1,2021-08-10
167,Evans High,Students,2,2021-08-10
168,Lake Whitney Elementary,Students,1,2021-08-10
169,Little River Elementary,Students,1,2021-08-10
170,Orange Technical College - Westside,Students,1,2021-08-10
171,Pershing School (K-8),Students,1,2021-08-10
172,Rosemont Elementary,Students,1,2021-08-10
173,Timber Creek High,Students,2,2021-08-10
174,University High,Students,1,2021-08-10
175,Vista Pointe Elementary,Students,1,2021-08-10
176,Wedgefield School (K-8),Students,3,2021-08-10
177,Camelot Elementary,Students,1,2021-08-09
178,Colonial High 9th Grade Center,Students,1,2021-08-09
179,Dr. Phillips Elementary,Students,1,2021-08-09
180,Hiawassee Elementary,Students,1,2021-08-09
181,Horizon West Middle,Students,1,2021-08-09
182,Lake Buena Vista High,Students,1,2021-08-09
183,Lawton Chiles Elementary,Students,1,2021-08-09
184,Little River Elementary,Students,1,2021-08-09
185,Lockhart Elementary,Students,1,2021-08-09
186,Maxey Elementary,Students,2,2021-08-09
187,Meadowbrook Middle,Students,7,2021-08-09
188,OCPS Academic Center for Excellence,Students,1,2021-08-09
189,Orange Technical College - Mid Florida,Students,1,2021-08-09
190,Orange Technical College - Westside,Students,1,2021-08-09
191,Southwood Elementary,Students,2,2021-08-09
192,Summerlake Elementary,Students,1,2021-08-09
193,University High,Students,1,2021-08-09
194,Waterford Elementary,Students,2,2021-08-09
195,Westridge Middle,Students,1,2021-08-09
196,Wyndham Lakes Elementary,Students,1,2021-08-09
197,Lake Whitney Elementary,Students,1,2021-08-08
198,Pinar Elementary,Students,1,2021-08-08
199,Rock Springs Elementary,Students,1,2021-08-08
200,Summerlake Elementary,Students,1,2021-08-08
201,Sunridge Elementary,Students,1,2021-08-08
202,Waterford Elementary,Students,2,2021-08-07
203,Wyndham Lakes Elementary,Students,1,2021-08-07
204,Citrus Elementary,Students,1,2021-08-06
205,Cypress Creek High,Students,1,2021-08-06
206,Lawton Chiles Elementary,Students,1,2021-08-06
207,Palm Lake Elementary,Students,1,2021-08-06
208,Aloma Elementary,Students,1,2021-08-05
209,Evans High,Students,1,2021-08-05
210,Sunshine Elementary,Students,2,2021-08-05
211,Windy Ridge School (K-8),Students,1,2021-08-05
212,Lake Como School (K-8),Students,1,2021-08-04
213,Wedgefield School (K-8),Students,2,2021-08-04
214,Horizon West Middle,Students,1,2021-08-03
215,Lake Nona High,Students,1,2021-08-03
216,Tildenville Elementary,Students,1,2021-08-03
217,Timber Creek High,Students,2,2021-08-03
218,Water Spring Elementary,Students,1,2021-08-03
219,Tildenville Elementary,Students,2,2021-08-02
220,Timber Creek High,Students,1,2021-08-02
221,University High,Students,1,2021-08-02
222,Waterford Elementary,Students,1,2021-08-02
223,Alternative Education Centers,Employees,1,2021-08-14
224,Curriculum & Digital Learning,Employees,1,2021-08-14
225,OCPS Academic Center for Excellence,Employees,1,2021-08-14
226,Roberto Clemente Middle,Employees,1,2021-08-14
227,University High,Employees,2,2021-08-14
228,Acceleration West,Employees,1,2021-08-13
229,Apopka High,Employees,2,2021-08-13
230,Horizon West Middle,Employees,1,2021-08-13
231,Jones High,Employees,1,2021-08-13
232,Lake Nona High,Employees,1,2021-08-13
233,Operations,Employees,3,2021-08-13
234,Orange Technical College - Mid Florida,Employees,1,2021-08-13
235,Orlo Vista Elementary,Employees,1,2021-08-13
236,Pinar Elementary,Employees,1,2021-08-13
237,Rosemont Elementary,Employees,1,2021-08-13
238,Shingle Creek Elementary,Employees,1,2021-08-13
239,Southwest Middle,Employees,1,2021-08-13
240,Teaching and Learning,Employees,1,2021-08-13
241,Washington Shores Elementary,Employees,2,2021-08-13
242,Waterbridge Elementary,Employees,1,2021-08-13
243,West Oaks Elementary,Employees,2,2021-08-13
244,Windermere High,Employees,1,2021-08-13
245,Arbor Ridge School (K-8),Employees,1,2021-08-12
246,Bridgewater Middle,Employees,2,2021-08-12
247,Chickasaw Elementary,Employees,1,2021-08-12
248,Facilities Services,Employees,1,2021-08-12
249,Freedom High,Employees,2,2021-08-12
250,Horizon High,Employees,1,2021-08-12
251,Hungerford Elementary,Employees,1,2021-08-12
252,Lake Weston Elementary,Employees,1,2021-08-12
253,Laureate Park Elementary,Employees,1,2021-08-12
254,McCoy Elementary,Employees,1,2021-08-12
255,Meadowbrook Middle,Employees,1,2021-08-12
256,Oak Hill Elementary,Employees,1,2021-08-12
257,Oakshire Elementary,Employees,1,2021-08-12
258,Olympia High,Employees,1,2021-08-12
259,Operations,Employees,1,2021-08-12
260,Orlo Vista Elementary,Employees,1,2021-08-12
261,Palm Lake Elementary,Employees,1,2021-08-12
262,Piedmont Lakes Middle,Employees,1,2021-08-12
263,Pinar Elementary,Employees,1,2021-08-12
264,Southwest Middle,Employees,1,2021-08-12
265,SunRidge Middle,Employees,1,2021-08-12
266,Timber Lakes Elementary,Employees,1,2021-08-12
267,Wekiva High,Employees,1,2021-08-12
268,Wolf Lake Middle,Employees,2,2021-08-12
269,Apopka High,Employees,1,2021-08-11
270,Cypress Creek High,Employees,1,2021-08-11
271,Dr. Phillips Elementary,Employees,1,2021-08-11
272,Glenridge Middle,Employees,1,2021-08-11
273,Independence Elementary,Employees,1,2021-08-11
274,Information Technology Services,Employees,1,2021-08-11
275,Keene’s Crossing Elementary,Employees,1,2021-08-11
276,Lake Buena Vista High,Employees,1,2021-08-11
277,Maitland Middle,Employees,1,2021-08-11
278,McCoy Elementary,Employees,1,2021-08-11
279,Olympia High,Employees,1,2021-08-11
280,Operations,Employees,3,2021-08-11
281,Palmetto Elementary,Employees,1,2021-08-11
282,Princeton Elementary,Employees,1,2021-08-11
283,Sand Lake Elementary,Employees,1,2021-08-11
284,Stone Lakes Elementary,Employees,1,2021-08-11
285,Sun Blaze Elementary,Employees,1,2021-08-11
286,Sunrise Elementary,Employees,1,2021-08-11
287,Timber Creek High,Employees,1,2021-08-11
288,Timber Lakes Elementary,Employees,1,2021-08-11
289,University High,Employees,1,2021-08-11
290,West Creek Elementary,Employees,1,2021-08-11
291,West Orange High,Employees,1,2021-08-11
292,Westridge Middle,Employees,2,2021-08-11
293,Wolf Lake Elementary,Employees,1,2021-08-11
294,Alternative Education Center - Randall,Employees,1,2021-08-10
295,Apopka High,Employees,1,2021-08-10
296,Azalea Park Elementary,Employees,1,2021-08-10
297,Clay Springs Elementary,Employees,1,2021-08-10
298,Colonial High,Employees,1,2021-08-10
299,Cypress Springs Elementary,Employees,2,2021-08-10
300,East River High,Employees,1,2021-08-10
301,Edgewater High,Employees,2,2021-08-10
302,Fiscal Services,Employees,1,2021-08-10
303,Hunter’s Creek Middle,Employees,1,2021-08-10
304,John Young Elementary,Employees,1,2021-08-10
305,Lake Weston Elementary,Employees,1,2021-08-10
306,Memorial Middle,Employees,1,2021-08-10
307,Oak Ridge High,Employees,1,2021-08-10
308,Operations,Employees,4,2021-08-10
309,Shenandoah Elementary,Employees,1,2021-08-10
310,Sun Blaze Elementary,Employees,1,2021-08-10
311,Thornebrooke Elementary,Employees,1,2021-08-10
312,Timber Creek High,Employees,1,2021-08-10
313,Waterford Elementary,Employees,1,2021-08-10
314,Wolf Lake Middle,Employees,2,2021-08-10
315,Avalon Middle,Employees,2,2021-08-09
316,Cypress Creek High,Employees,2,2021-08-09
317,Edgewater High,Employees,1,2021-08-09
318,Horizon High,Employees,1,2021-08-09
319,Independence Elementary,Employees,1,2021-08-09
320,Lake George Elementary,Employees,1,2021-08-09
321,Lake Silver Elementary,Employees,1,2021-08-09
322,Lakeville Elementary,Employees,1,2021-08-09
323,Meadowbrook Middle,Employees,1,2021-08-09
324,Olympia High,Employees,1,2021-08-09
325,Operations,Employees,4,2021-08-09
326,Orange County Virtual School,Employees,1,2021-08-09
327,Orange Technical College - Mid Florida,Employees,1,2021-08-09
328,Orlando Gifted Academy,Employees,1,2021-08-09
329,Piedmont Lakes Middle,Employees,1,2021-08-09
330,Teaching and Learning,Employees,2,2021-08-09
331,Timber Creek High,Employees,1,2021-08-09
332,Timber Lakes Elementary,Employees,1,2021-08-09
333,West Creek Elementary,Employees,1,2021-08-09
334,Wolf Lake Middle,Employees,1,2021-08-09
335,Alternative Education Centers,Employees,1,2021-08-08
336,Apopka High,Employees,2,2021-08-08
337,Dr. Phillips High,Employees,1,2021-08-08
338,Freedom Middle,Employees,1,2021-08-08
339,Liberty Middle,Employees,1,2021-08-08
340,Ridgewood Park Elementary,Employees,1,2021-08-08
341,Sally Ride Elementary,Employees,1,2021-08-08
342,Thornebrooke Elementary,Employees,1,2021-08-08
343,Boone High,Employees,1,2021-08-07
344,Freedom Middle,Employees,1,2021-08-07
345,Lake Gem Elementary,Employees,1,2021-08-07
346,Lake Weston Elementary,Employees,1,2021-08-07
347,Lakeview Middle,Employees,1,2021-08-07
348,MetroWest Elementary,Employees,1,2021-08-07
349,Riverside Elementary,Employees,1,2021-08-07
350,Roberto Clemente Middle,Employees,1,2021-08-07
351,Spring Lake Elementary,Employees,2,2021-08-07
352,SunRidge Middle,Employees,1,2021-08-07
353,Wyndham Lakes Elementary,Employees,1,2021-08-07
354,Colonial High,Employees,1,2021-08-06
355,Evans High,Employees,1,2021-08-06
356,Independence Elementary,Employees,1,2021-08-06
357,Lake Buena Vista High,Employees,2,2021-08-06
358,OCPS Academic Center for Excellence,Employees,1,2021-08-06
359,Operations,Employees,2,2021-08-06
360,Orange County Virtual School,Employees,1,2021-08-06
361,Orlando Gifted Academy,Employees,1,2021-08-06
362,Pine Hills Elementary,Employees,1,2021-08-06
363,Riverside Elementary,Employees,1,2021-08-06
364,Sun Blaze Elementary,Employees,1,2021-08-06
365,Sunshine Elementary,Employees,1,2021-08-06
