location,addr,level,lat,long
ECCLESTON ELEMENTARY,"1500 AARON AVE ORLANDO, FL 32811-4114",Elementary,28.5253934,-81.4330489
ENDEAVOR ELEMENTARY,"13501 BALCOMBE RD ORLANDO, FL 32837-6221",Elementary,28.3689123,-81.3978893
ENGELWOOD ELEMENTARY,"5985 LA COSTA DR ORLANDO, FL 32807",Elementary,28.5305354,-81.3034921
ESTEEM ACADEMY,"12301 WARRIOR RD WINTER GARDEN, FL 34787",Elementary,28.5395774,-81.563199
FORSYTH WOODS ELEMENTARY,"6651 CURTIS ST ORLANDO, FL 32807-5116",Elementary,28.5599634,-81.29678489999999
FRANGUS ELEMENTARY,"380 KILLINGTON WAY ORLANDO, FL 32835-6834",Elementary,28.5447305,-81.4962973
HIAWASSEE ELEMENTARY,"6800 HENNEPIN BLVD ORLANDO, FL 32818-5357",Elementary,28.5675363,-81.47269659999999
HIDDEN OAKS ELEMENTARY,"9051 SUBURBAN DR ORLANDO, FL 32829-8793",Elementary,28.4899821,-81.2597129
HILLCREST ELEMENTARY,"1010 E CONCORD ST ORLANDO, FL 32803-4619",Elementary,28.5507397,-81.36541989999999
HOME EDUCATION,"445 W AMELIA ST ORLANDO, FL 32801-1129",Elementary,28.5498139,-81.38427620000002
HOPE CHARTER,"1550 E CROWN POINT RD OCOEE, FL 34761-3722",Elementary,28.592545,-81.560344
HOSPITAL HOMEBOUND,"12301 WARRIOR RD WINTER GARDEN, FL 34787-5203",Elementary,28.5395774,-81.563199
HUNGERFORD ELEMENTARY,"230 RUFFEL STREET EATONVILLE, FL 32751-6732",Elementary,28.614786,-81.3812297
HUNTERS CREEK ELEMENTARY,"4650 TOWN CENTER BLVD ORLANDO, FL 32837-6118",Elementary,28.3592419,-81.4305595
INDEPENDENCE ELEMENTARY,"6255 NEW INDEPENDENCE PKWY WINTER GARDEN, FL 34787",Elementary,28.4673333,-81.60650369999999
INNOVATION MONTESSORI OCOEE CHARTER,"855 E PLANT ST, STE 1500 WINTER GARDEN, FL 34787-3164",Elementary,28.5682522,-81.575966
IVEY LANE ELEMENTARY,"209 SILVERTON ST ORLANDO, FL 32811-1745",Elementary,28.5441634,-81.43753389999999
JOHN YOUNG ELEMENTARY,"12550 MARSFIELD AVE ORLANDO, FL 32837-8531",Elementary,28.3839948,-81.4236918
K12 VIRTUAL SECONDARY,"445 W AMELIA ST ORLANDO, FL 32801-1129",Elementary,28.5498139,-81.38427620000002
KEENES CROSSING ELEMENTARY,"5240 KEENES PHEASANT DR WINDERMERE, FL 34786-3220",Elementary,28.4884589,-81.6006584
KIDS COMMUNITY COLLEGE CHARTER,"1475 E SILVER STAR RD OCOEE, FL 34761-2555",Elementary,28.5724633,-81.5207513
KILLARNEY ELEMENTARY,"2401 WELLINGTON BLVD WINTER PARK, FL 32789-3464",Elementary,28.5955221,-81.38256899999999
LA AMISTAD,"1650 PARK AVE N MAITLAND, FL 32751-6570",Elementary,28.61335,-81.3647434
LAKE COMO SCHOOL,"2450 E GORE ST ORLANDO, FL 32806",Elementary,28.5311152,-81.3504422
