location,addr,level,lat,long
LAKE NONA HIGH,"12500 NARCOOSSEE RD ORLANDO, FL 32832-6922",High,28.380766,-81.2465484
LEGACY HIGH CHARTER,"1550 E CROWN POINT RD OCOEE, FL 34761-3722",High,28.592545,-81.560344
OAK RIDGE HIGH,"700 W OAK RIDGE RD ORLANDO, FL 32809-4800",High,28.4711699,-81.38502679999999
OCOEE HIGH,"1925 OCOEE CROWN POINT PKWY OCOEE, FL 34761-5060",High,28.5997917,-81.5580257
OLYMPIA HIGH,"4301 S APOPKA VINELAND RD ORLANDO, FL 32835-3115",High,28.4985319,-81.50683529999999
PINECREST COLLEGIATE ACADEMY CHARTER,"13993 MAILER BLVD ORLANDO, FL 32828-4883",High,28.5018061,-81.1519976
PROSPERITAS LEADERSHIP ACADEMY CHARTER,"4504 S ORANGE BLOSSOM TRL ORLANDO, FL 32839-1704",High,28.496572,-81.39846
RANDALL ACADEMY,"3307 CLARCONA ROAD APOPKA, FL 32703",High,28.633432,-81.497759
SHEELER HIGH CHARTER,"871 E SEMORAN BLVD APOPKA, FL 32703-5516",High,28.673779,-81.4933487
SIMON YOUTH FOUND ACAD AT OUTLET MKTPLCE,"5253 INTERNATIONAL DR, STE B4/B5 ORLANDO, FL 32819-9478",High,28.4680567,-81.4535113
SUNSHINE HIGH CHARTER,"6600 OLD WINTER GARDEN RD ORLANDO, FL 32835-1218",High,28.5380219,-81.47376009999999
TIMBER CREEK HIGH,"1001 AVALON PARK BLVD ORLANDO, FL 32828-7764",High,28.5483714,-81.1633655
UCP TRANS LEARNING ACADEMY CHARTER,"3305 S ORANGE AVE ORLANDO, FL 32806-6125",High,28.5064537,-81.3756003
UNIVERSAL EDUCATION CENTER,"1000 UNIVERSAL STUDIOS PLZ ORLANDO, FL 32819-7601",High,28.4771981,-81.47354589999999
UNIVERSITY HIGH,"2450 COUGAR WAY ORLANDO, FL 32817-3500",High,28.5770487,-81.2167695
WEKIVA HIGH,"2501 N HIAWASSEE ROAD APOPKA, FL 32703-2608",High,28.6369186,-81.4738978
WEST ORANGE HIGH,"1625 BEULAH RD WINTER GARDEN, FL 34787-4407",High,28.5414096,-81.5671835
WINDERMERE HIGH,"5523 WINTER GARDEN VINELAND RD WINDERMERE, FL 34786",High,28.4822064,-81.5825163
WINTER PARK EDUCATION CENTER,"1045 AZALEA LN WINTER PARK, FL 32789-5651",High,28.5887818,-81.35897589999999
WINTER PARK HIGH,"2100 SUMMERFIELD RD WINTER PARK, FL 32792-5037",High,28.5850782,-81.32300839999999
WINTER PARK HIGH 9TH GRADE CENTER,"528 HUNTINGTON AVE WINTER PARK, FL 32789-5097",High,28.5896272,-81.3563643
WORKFORCE ADVANTAGE ACADEMY CHARTER,"2113 E SOUTH ST ORLANDO, FL 32803-6502",High,28.5395878,-81.3537344
132-M-W-4,"FUTURE WEST LC MIDDLE WINTER GARDEN, FL",Middle,28.537481,-81.6026419
68-M-SE-2,"FUTURE SOUTHEAST LC MIDDLE ORLANDO, FL",Middle,28.5383832,-81.3789269
APOPKA MIDDLE,"425 N PARK AVE APOPKA, FL 32712-4151",Middle,28.687219,-81.50855039999999
AVALON MIDDLE,"13914 MAILER BLVD ORLANDO, FL 32828-4883",Middle,28.5000765,-81.1516637
BRIDGEWATER MIDDLE,"5600 TINY RD WINTER GARDEN, FL 34787-9202",Middle,28.479914,-81.614009
CARVER MIDDLE,"4500 W COLUMBIA ST ORLANDO, FL 32811-4052",Middle,28.5254834,-81.4348301
CENTRAL FLORIDA LEADERSHIP ACAD CHARTER,"427 N PRIMROSE DR ORLANDO, FL 32803-5012",Middle,28.5489698,-81.3469027
CHAIN OF LAKES MIDDLE,"8700 CONROY WINDERMERE RD ORLANDO, FL 32835-3132",Middle,28.492158,-81.50459699999999
COLLEGE PARK MIDDLE,"1201 MAURY RD ORLANDO, FL 32804-3541",Middle,28.5841973,-81.39707349999999
CONWAY MIDDLE,"4600 ANDERSON RD ORLANDO, FL 32812-7322",Middle,28.5002657,-81.32825199999999
CORNER LAKE MIDDLE,"1700 CHULUOTA RD ORLANDO, FL 32820-1401",Middle,28.5648006,-81.1302082
DISCOVERY MIDDLE,"601 WOODBURY RD ORLANDO, FL 32828-7104",Middle,28.5421393,-81.19270759999999
FREEDOM MIDDLE,"2850 TAFT VINELAND RD ORLANDO, FL 32837-4018",Middle,28.414838,-81.41720099999999
GLENRIDGE MIDDLE,"2900 UPPER PARK ROAD ORLANDO, FL 32814-6100",Middle,28.577813,-81.336213
GOTHA MIDDLE,"9155 GOTHA RD WINDERMERE, FL 34786-8133",Middle,28.5299425,-81.51129089999999
HORIZON WEST MIDDLE,"8200 TATTANT BLVD WINDERMERE, FL 34786",Middle,28.4518716,-81.56876869999999
HOWARD MIDDLE,"800 E ROBINSON ST ORLANDO, FL 32801-2020",Middle,28.5452703,-81.36692339999999
HUNTERS CREEK MIDDLE,"13400 TOWN LOOP BLVD ORLANDO, FL 32837-5511",Middle,28.3675919,-81.43510909999999
INNOVATION MIDDLE,"13950 STOREY PARK BLVD ORLANDO, FL 32832",Middle,28.4229186,-81.2108296
INNOVATIONS MIDDLE CHARTER,"2768 N HIAWASSEE RD ORLANDO, FL 32818-3319",Middle,28.5799066,-81.4771318
LAKE NONA MIDDLE,"13700 NARCOOSSEE RD ORLANDO, FL 32832-6925",Middle,28.3664235,-81.2460321
LAKEVIEW MIDDLE,"1200 W BAY ST WINTER GARDEN, FL 34787-2547",Middle,28.5654648,-81.6038597
LEGACY MIDDLE,"11398 LK UNDERHILL RD ORLANDO, FL 32825-5022",Middle,28.5446911,-81.21857729999999
LIBERTY MIDDLE,"3405 S CHICKASAW TRL ORLANDO, FL 32829-8627",Middle,28.5020025,-81.2678857
LOCKHART MIDDLE,"3411 DOCTOR LOVE RD ORLANDO, FL 32810-3615",Middle,28.6208582,-81.4216314
MAITLAND MIDDLE,"701 N THISTLE LN MAITLAND, FL 32751-3864",Middle,28.6328345,-81.3434145
MEADOW WOODS MIDDLE,"1800 RHODE ISLAND WOODS CIR ORLANDO, FL 32824-5034",Middle,28.3710381,-81.345012
MEADOWBROOK MIDDLE,"6000 NORTH LN ORLANDO, FL 32808-2106",Middle,28.5953285,-81.4633425
MEMORIAL MIDDLE,"2220 W 29TH ST ORLANDO, FL 32805-6037",Middle,28.5113877,-81.40626209999999
OCOEE MIDDLE,"300 S BLUFORD AVE OCOEE, FL 34761-2745",Middle,28.5670051,-81.5421586
ODYSSEY MIDDLE,"9290 LEE VISTA BLVD ORLANDO, FL 32829-7627",Middle,28.4747803,-81.2569597
PIEDMONT LAKES MIDDLE,"2601 LAKEVILLE RD APOPKA, FL 32703-8975",Middle,28.6386541,-81.4780614
ROBERTO CLEMENTE MIDDLE,"6000 ROBERTO CLEMENTE RD ORLANDO, FL 32807-2954",Middle,28.529922,-81.3032489
ROBINSWOOD MIDDLE,"6305 BALBOA DR ORLANDO, FL 32818-5923",Middle,28.5606354,-81.47089489999999
SOUTH CREEK MIDDLE,"3801 E WETHERBEE RD ORLANDO, FL 32824-8823",Middle,28.3943522,-81.3441526
SOUTHWEST MIDDLE,"6450 DR PHILLIPS BLVD ORLANDO, FL 32819-4646",Middle,28.4692289,-81.4918479
SUNRIDGE MIDDLE,"14955 SUNRIDGE BLVD WINTER GARDEN, FL 34787-5120",Middle,28.5377687,-81.60272669999999
TIMBER SPRINGS MIDDLE,"16001 TIMBER PARK LN ORLANDO, FL 32828",Middle,28.5337466,-81.1380501
UNION PARK MIDDLE,"1844 WESTFALL DR ORLANDO, FL 32817-4202",Middle,28.5716094,-81.2486996
WALKER MIDDLE,"150 AMIDON LN ORLANDO, FL 32809-6513",Middle,28.4604537,-81.3772712
WATER SPRING MIDDLE,"10393 SEIDEL ROAD WINTER GARDEN, FL 34787",Middle,28.4201879,-81.6243914
WESTRIDGE MIDDLE,"3800 W OAK RIDGE RD ORLANDO, FL 32809-4539",Middle,28.4707967,-81.42145959999999
WOLF LAKE MIDDLE,"1725 W PONKAN RD APOPKA, FL 32712-5623",Middle,28.7295985,-81.54174239999999
