date,type,location,count
2021-08-01,Vendor/Visitor,Teaching and Learning,1
2021-08-01,Student,Timber Creek High,1
2021-08-01,Student,Lake Nona High,3
2021-08-01,Employee,Timber Springs Middle,1
2021-08-01,Employee,Tildenville Elementary,1
2021-08-01,Employee,Sunshine Elementary,1
2021-08-01,Employee,Riverside Elementary,1
2021-08-01,Employee,Orange Technical College - Westside,1
2021-08-01,Employee,Operations,1
2021-08-01,Employee,Ocoee Middle,1
2021-08-01,Employee,Lawton Chiles Elementary,1
2021-08-01,Employee,Lancaster Elementary,1
2021-08-01,Employee,Lake Como School (K-8),1
2021-08-01,Employee,College Park Middle,1
2021-08-01,Employee,Bay Lake Elementary,1
2021-07-31,Employee,Zellwood Elementary,1
2021-07-31,Employee,Winter Park High,1
2021-07-31,Employee,Wetherbee Elementary,1
2021-07-31,Employee,Roberto Clemente Middle,1
2021-07-31,Employee,Oak Ridge High,1
2021-07-31,Employee,Alternative Education Centers,1
2021-07-30,Student,Westpointe Elementary,1
2021-07-30,Student,Oak Ridge High,1
2021-07-30,Student,Evans High,1
2021-07-30,Student,Chickasaw Elementary,1
2021-07-30,Employee,Union Park Elementary,1
2021-07-30,Employee,Timber Creek High,1
2021-07-30,Employee,Three Points Elementary,1
2021-07-30,Employee,Rock Springs Elementary,1
2021-07-30,Employee,Orlando Gifted Academy,1
2021-07-30,Employee,Orange Technical College - Mid Florida,1
2021-07-30,Employee,Ocoee Middle,1
2021-07-30,Employee,Lake Weston Elementary,1
2021-07-30,Employee,Lake Nona High,1
2021-07-30,Employee,John Young Elementary,1
2021-07-30,Employee,Human Resources,1
2021-07-30,Employee,Forsyth Woods Elementary,1
2021-07-30,Employee,Facilities Services,2
2021-07-30,Employee,Evans High,1
2021-07-30,Employee,Dream Lake Elementary,1
2021-07-30,Employee,Cypress Creek High,1
2021-07-30,Employee,Curriculum & Digital Learning,1
2021-07-30,Employee,Conway Elementary,1
2021-07-30,Employee,Catalina Elementary,1
2021-07-30,Employee,Bay Meadows Elementary,1
2021-07-29,Student,Winegard Elementary,1
2021-07-29,Student,West Creek Elementary,1
2021-07-29,Student,Pinar Elementary,2
2021-07-29,Student,Alternative Education Centers,1
2021-07-29,Employee,Winter Park 9th Grade Center,1
2021-07-29,Employee,Windy Ridge School (K-8),1
2021-07-29,Employee,Vista Lakes Elementary,1
2021-07-29,Employee,Moss Park Elementary,1
2021-07-29,Employee,Lockhart Elementary,1
2021-07-29,Employee,Cheney Elementary,1
2021-07-29,Employee,Bay Meadows Elementary,1
2021-07-29,Employee,Bay Lake Elementary,1
2021-07-28,Vendor/Visitor,Ridgewood Park Elementary,1
2021-07-28,Student,West Orange High,1
2021-07-28,Student,Wekiva High,1
2021-07-28,Student,Tildenville Elementary,1
2021-07-28,Student,OCPS Academic Center for Excellence,1
2021-07-28,Student,Magnolia School,1
2021-07-28,Student,Laureate Park Elementary,1
2021-07-28,Student,Forsyth Woods Elementary,1
2021-07-28,Student,East River High,1
2021-07-28,Student,Colonial High,1
2021-07-28,Employee,Wetherbee Elementary,1
2021-07-28,Employee,Union Park Middle,1
2021-07-28,Employee,Teaching and Learning,1
2021-07-28,Employee,Ridgewood Park Elementary,1
2021-07-28,Employee,"Research, Accountability & Grants",1
2021-07-28,Employee,Pershing School (K-8),1
2021-07-28,Employee,Operations,3
2021-07-28,Employee,Ocoee Middle,1
2021-07-28,Employee,Lovell Elementary,1
2021-07-28,Employee,Lockhart Elementary,1
2021-07-28,Employee,Lake Como School (K-8),1
2021-07-28,Employee,Gotha Middle,1
2021-07-28,Employee,Evans High,1
2021-07-28,Employee,Edgewater High,1
2021-07-28,Employee,Cheney Elementary,1
2021-07-28,Employee,Carver Middle,2
2021-07-27,Student,West Orange High,2
2021-07-27,Student,Three Points Elementary,1
2021-07-27,Student,Ocoee Middle,1
2021-07-27,Student,Freedom High,1
2021-07-27,Student,Boone High,1
2021-07-27,Employee,Teaching and Learning,1
2021-07-27,Employee,Southwood Elementary,1
2021-07-27,Employee,Robinswood Middle,1
2021-07-27,Employee,Ocoee High,1
2021-07-27,Employee,Magnolia School,1
2021-07-27,Employee,Lockhart Elementary,1
2021-07-27,Employee,Information Technology Services,1
2021-07-27,Employee,Horizon West Middle,1
2021-07-27,Employee,Facilities Services,1
2021-07-27,Employee,Engelwood Elementary,1
2021-07-27,Employee,Eagle Creek Elementary,1
2021-07-27,Employee,Dr. Phillips High,1
2021-07-27,Employee,Dover Shores Elementary,1
2021-07-27,Employee,Cheney Elementary,1
2021-07-27,Employee,Castle Creek Elementary,1
2021-07-27,Employee,Bridgewater Middle,1
2021-07-26,Student,Winter Park High,1
2021-07-26,Student,Windermere High,1
2021-07-26,Student,Ocoee Middle,1
2021-07-26,Student,Maxey Elementary,1
2021-07-26,Student,Laureate Park Elementary,1
2021-07-26,Student,Lake Buena Vista High,1
2021-07-26,Student,Edgewater High,1
2021-07-26,Student,Aloma Elementary,2
2021-07-26,Employee,Westpointe Elementary,2
2021-07-26,Employee,Timber Creek High,1
2021-07-26,Employee,Orange Technical College - Westside,2
2021-07-26,Employee,Operations,3
2021-07-26,Employee,Little River Elementary,1
2021-07-26,Employee,Facilities Services,4
2021-07-26,Employee,Dillard St. Elementary,1
2021-07-26,Employee,Corner Lake Middle,1
2021-07-26,Employee,Columbia Elementary,1
2021-07-26,Employee,Apopka High,1
2021-07-26,Employee,Aloma Elementary,1
2021-07-25,Student,Jones High,1
2021-07-24,Student,Forsyth Woods Elementary,1
2021-07-23,Vendor/Visitor,West Orange High,1
2021-07-23,Student,Waterford Elementary,1
2021-07-23,Student,Spring Lake Elementary,1
2021-07-23,Student,Ocoee High,1
2021-07-23,Student,Meadow Woods Elementary,1
2021-07-23,Student,Maxey Elementary,1
2021-07-23,Student,Apopka High,1
2021-07-23,Employee,West Orange High,1
2021-07-23,Employee,Pinar Elementary,1
2021-07-23,Employee,Operations,4
2021-07-23,Employee,Lockhart Middle,1
2021-07-23,Employee,Killarney Elementary,1
2021-07-23,Employee,Hidden Oaks Elementary,1
2021-07-23,Employee,Boone High,1
2021-07-23,Employee,Apopka High,1
2021-07-22,Vendor/Visitor,Human Resources,1
2021-07-22,Student,Vista Pointe Elementary,1
2021-07-22,Student,Palmetto Elementary,2
2021-07-22,Student,Orange Technical College - Mid Florida,1
2021-07-22,Student,Magnolia School,1
2021-07-22,Student,Ivey Lane Elementary,1
2021-07-22,Student,Colonial High,1
2021-07-22,Student,Baldwin Park Elementary,1
2021-07-22,Student,Alternative Education Centers,1
2021-07-22,Employee,Sunshine Elementary,1
2021-07-22,Employee,Operations,1
2021-07-22,Employee,Discovery Middle,1
2021-07-22,Employee,Cheney Elementary,1
2021-07-21,Student,Wedgefield School (K-8),1
2021-07-21,Student,Thornebrooke Elementary,1
2021-07-21,Student,Palm Lake Elementary,1
2021-07-21,Student,Hungerford Elementary,1
2021-07-21,Student,Boone High,1
2021-07-21,Employee,Operations,3
2021-07-21,Employee,Human Resources,1
2021-07-21,Employee,Facilities Services,2
2021-07-21,Employee,Edgewater High,1
2021-07-21,Employee,Azalea Park Elementary,1
2021-07-20,Student,West Oaks Elementary,1
2021-07-20,Student,Palm Lake Elementary,2
2021-07-20,Student,Magnolia School,1
2021-07-20,Student,Lancaster Elementary,1
2021-07-20,Student,Lake Silver Elementary,1
2021-07-20,Student,Dr. Phillips High,2
2021-07-20,Student,Castle Creek Elementary,1
2021-07-20,Student,Aloma Elementary,1
2021-07-20,Employee,Timber Springs Middle,1
2021-07-20,Employee,Pinewood Elementary,1
2021-07-20,Employee,Operations,2
2021-07-20,Employee,Human Resources,1
2021-07-20,Employee,Hiawassee Elementary,1
2021-07-20,Employee,East River High,2
2021-07-20,Employee,Bay Meadows Elementary,1
2021-07-19,Student,Wedgefield School (K-8),1
2021-07-19,Student,Summerlake Elementary,1
2021-07-19,Student,Rosemont Elementary,1
2021-07-19,Student,Evans High,1
2021-07-19,Student,Eccleston Elementary,4
2021-07-19,Student,Colonial High,1
2021-07-19,Employee,Wheatley Elementary,1
2021-07-19,Employee,West Creek Elementary,1
2021-07-19,Employee,Ventura Elementary,2
2021-07-19,Employee,Teaching and Learning,1
2021-07-19,Employee,Rolling Hills Elementary,1
2021-07-19,Employee,Rock Springs Elementary,1
2021-07-19,Employee,Operations,3
2021-07-19,Employee,OCPS Academic Center for Excellence,1
2021-07-19,Employee,Lake George Elementary,1
2021-07-19,Employee,Hidden Oaks Elementary,1
2021-07-19,Employee,Frangus Elementary,1
2021-07-19,Employee,Cypress Springs Elementary,1
2021-07-19,Employee,Corner Lake Middle,1
2021-07-19,Employee,Castleview Elementary,1
2021-07-19,Employee,Aloma Elementary,1
2021-07-17,Employee,Facilities Services,1
2021-07-16,Vendor/Visitor,Dommerich Elementary,1
2021-07-16,Student,Windermere High,1
2021-07-16,Student,Jones High,1
2021-07-16,Student,Evans High,1
2021-07-16,Student,Colonial High,2
2021-07-16,Employee,Wyndham Lakes Elementary,1
2021-07-16,Employee,University High,1
2021-07-16,Employee,Shingle Creek Elementary,1
2021-07-16,Employee,Robinswood Middle,1
2021-07-16,Employee,Operations,2
2021-07-16,Employee,Oak Hill Elementary,1
2021-07-16,Employee,Lake Nona High,1
2021-07-16,Employee,Information Technology Services,1
2021-07-16,Employee,Arbor Ridge School (K-8),1
2021-07-16,Employee,Acceleration East,1
2021-07-15,Student,Wekiva High,1
2021-07-15,Student,Rolling Hills Elementary,1
2021-07-15,Student,Palmetto Elementary,2
2021-07-15,Student,Glenridge Middle,1
2021-07-15,Student,Evans High,1
2021-07-15,Employee,Human Resources,1
2021-07-14,Student,Frangus Elementary,1
2021-07-14,Employee,Wolf Lake Elementary,1
2021-07-14,Employee,Pinewood Elementary,1
2021-07-14,Employee,Millennia Elementary,1
2021-07-14,Employee,Information Technology Services,2
2021-07-14,Employee,Corner Lake Middle,1
2021-07-13,Student,Laureate Park Elementary,1
2021-07-13,Employee,Howard Middle,1
2021-07-13,Employee,Freedom High,1
2021-07-13,Employee,Curriculum & Digital Learning,1
2021-07-13,Employee,Colonial High 9th Grade Center,1
2021-07-12,Vendor/Visitor,Odyssey Middle,1
2021-07-12,Vendor/Visitor,OCPS Academic Center for Excellence,1
2021-07-12,Vendor/Visitor,Liberty Middle,1
2021-07-12,Student,Wyndham Lakes Elementary,1
2021-07-12,Student,Wekiva High,1
2021-07-12,Student,Water Spring Elementary,1
2021-07-12,Student,Memorial Middle,1
2021-07-12,Student,Glenridge Middle,1
2021-07-12,Employee,Washington Shores Elementary,1
2021-07-12,Employee,Timber Creek High,1
2021-07-12,Employee,Orange Technical College - Winter Park,1
2021-07-12,Employee,Operations,2
2021-07-12,Employee,Millennia Gardens Elementary,1
2021-07-12,Employee,Lake Gem Elementary,1
2021-07-12,Employee,Dr. Phillips High,1
2021-07-12,Employee,Bay Meadows Elementary,1
2021-07-11,Student,Sunset Park Elementary,1
2021-07-09,Student,Memorial Middle,1
2021-07-08,Employee,Acceleration East,1
2021-07-07,Employee,Facilities Services,1
2021-07-06,Student,Wolf Lake Elementary,1
2021-07-06,Student,Windermere High,1
2021-07-06,Student,Evans High,1
2021-07-06,Student,Avalon Elementary,1
2021-07-06,Employee,Operations,1
2021-07-06,Employee,McCoy Elementary,1
2021-07-02,Employee,Teaching and Learning,1
2021-07-01,Student,Vista Lakes Elementary,1
2021-07-01,Student,Castle Creek Elementary,1
2021-07-01,Student,Apopka Elementary,1
2021-07-01,Employee,Orange Technical College - Westside,1
2021-07-01,Employee,Orange Technical College - Avalon,1
2021-07-01,Employee,Lake Buena Vista High,1
2021-07-01,Employee,Azalea Park Elementary,1
2021-06-30,Student,Carver Middle,2
2021-06-29,Student,Positive Pathways Transition Center,1
2021-06-29,Student,Hungerford Elementary,1
2021-06-29,Student,Edgewater High,1
2021-06-29,Student,Andover Elementary,2
2021-06-28,Student,Westridge Middle,1
2021-06-28,Student,Wekiva High,1
2021-06-28,Student,Vista Lakes Elementary,1
2021-06-28,Student,Lake Nona Middle,1
2021-06-28,Student,Lake Nona High,1
2021-06-28,Student,Lake Como School (K-8),1
2021-06-28,Student,Hungerford Elementary,1
2021-06-28,Student,Andover Elementary,2
2021-06-28,Employee,Shenandoah Elementary,1
2021-06-28,Employee,Orange Technical College - Orlando,1
2021-06-28,Employee,Orange Technical College - Mid Florida,1
2021-06-28,Employee,MetroWest Elementary,1
2021-06-27,Employee,Communications Division,1
2021-06-25,Student,Catalina Elementary,1
2021-06-24,Student,Timber Creek High,1
2021-06-24,Employee,Oak Ridge High,1
2021-06-24,Employee,Catalina Elementary,1
2021-06-23,Student,Wyndham Lakes Elementary,1
2021-06-23,Student,Memorial Middle,1
2021-06-23,Student,Jones High,1
2021-06-23,Student,Glenridge Middle,1
2021-06-23,Employee,Orange Technical College - Mid Florida,1
2021-06-23,Employee,Fiscal Services,1
2021-06-22,Student,West Orange High,1
2021-06-22,Student,Pershing School (K-8),1
2021-06-22,Student,Dover Shores Elementary,1
2021-06-21,Student,Oakshire Elementary,1
2021-06-21,Student,OCPS Academic Center for Excellence,2
2021-06-20,Student,Glenridge Middle,1
2021-06-18,Student,Sunshine Elementary,1
2021-06-18,Employee,McCoy Elementary,1
2021-06-17,Student,Olympia High,1
2021-06-17,Student,Bay Meadows Elementary,1
2021-06-17,Employee,Positive Pathways Transition Center,1
2021-06-17,Employee,Oak Ridge High,1
2021-06-16,Student,Carver Middle,1
2021-06-16,Employee,Windermere High,1
2021-06-15,Student,Lake Nona Middle,1
2021-06-15,Employee,McCoy Elementary,1
2021-06-14,Vendor/Visitor,Bay Meadows Elementary,1
2021-06-14,Student,Tildenville Elementary,1
2021-06-14,Student,Sunset Park Elementary,1
2021-06-14,Student,Orange Technical College - Winter Park,1
2021-06-14,Student,Orange Technical College - Mid Florida,1
2021-06-14,Student,Avalon Middle,1
2021-06-14,Student,Acceleration West,1
2021-06-14,Employee,Magnolia School,1
2021-06-14,Employee,Bonneville Elementary,1
2021-06-12,Employee,Pineloch Elementary,1
2021-06-11,Student,Winter Park High,1
2021-06-11,Student,Sun Blaze Elementary,1
2021-06-11,Student,Sadler Elementary,1
2021-06-10,Student,Tildenville Elementary,1
2021-06-10,Student,ESE Transition School,1
2021-06-10,Student,Dover Shores Elementary,1
2021-06-10,Employee,Ocoee High,1
2021-06-10,Employee,Human Resources,1
2021-06-10,Employee,Boone High,1
2021-06-09,Student,Freedom High,1
2021-06-09,Employee,Rock Springs Elementary,1
2021-06-08,Student,Windermere High,1
2021-06-08,Student,Orange Technical College - Winter Park,1
2021-06-08,Employee,Southwest Middle,1
2021-06-08,Employee,Operations,1
2021-06-08,Employee,Facilities Services,1
2021-06-07,Student,Westridge Middle,1
2021-06-07,Student,Stone Lakes Elementary,1
2021-06-07,Employee,Operations,2
2021-06-07,Employee,Bonneville Elementary,1
2021-06-07,Employee,Aloma Elementary,1
2021-06-04,Student,West Oaks Elementary,1
2021-06-04,Student,Colonial High,3
2021-06-04,Employee,Pinewood Elementary,1
2021-06-04,Employee,Boone High,1
2021-06-03,Student,West Creek Elementary,1
2021-06-03,Student,Lake Nona High,1
2021-06-03,Employee,Operations,1
2021-06-03,Employee,Oak Ridge High,1
2021-06-03,Employee,Hunter’s Creek Elementary,1
2021-06-02,Student,West Orange High,1
2021-06-02,Student,Vista Lakes Elementary,1
2021-06-02,Student,Thornebrooke Elementary,1
2021-06-02,Student,Discovery Middle,1
2021-06-02,Employee,Orange Technical College - Winter Park,1
2021-06-01,Student,Wetherbee Elementary,2
2021-06-01,Student,Dr. Phillips High,1
2021-06-01,Employee,Union Park Elementary,1
2021-06-01,Employee,Operations,1
2021-06-01,Employee,Killarney Elementary,1
2021-06-01,Employee,Gateway School,1
2021-06-01,Employee,Bonneville Elementary,1
2021-05-28,Student,Olympia High,2
2021-05-28,Student,Glenridge Middle,1
2021-05-28,Employee,Southwest Middle,1
2021-05-27,Student,Liberty Middle,1
2021-05-27,Student,Clay Springs Elementary,1
2021-05-26,Student,Vista Lakes Elementary,1
2021-05-26,Student,Prairie Lake Elementary,1
2021-05-26,Student,Liberty Middle,1
2021-05-26,Student,Hunter’s Creek Middle,1
2021-05-26,Student,Gotha Middle,2
2021-05-26,Student,Citrus Elementary,1
2021-05-26,Student,Apopka High,2
2021-05-25,Student,Whispering Oak Elementary,1
2021-05-25,Student,Meadow Woods Elementary,1
2021-05-25,Student,Lakeville Elementary,1
2021-05-25,Student,Hunter’s Creek Elementary,1
2021-05-25,Student,Colonial High,1
2021-05-25,Employee,Orange Technical College - Westside,1
2021-05-24,Student,Wolf Lake Elementary,1
2021-05-24,Student,Westbrooke Elementary,1
2021-05-24,Student,Vista Lakes Elementary,1
2021-05-24,Student,Ventura Elementary,1
2021-05-24,Student,Sunridge Elementary,1
2021-05-24,Student,South Creek Middle,1
2021-05-24,Student,Robinswood Middle,1
2021-05-24,Student,Oakshire Elementary,2
2021-05-24,Student,Millennia Elementary,1
2021-05-24,Student,Innovation Middle,1
2021-05-24,Student,Hunter’s Creek Elementary,1
2021-05-24,Student,Howard Middle,1
2021-05-24,Student,Hiawassee Elementary,1
2021-05-24,Student,Edgewater High,1
2021-05-24,Student,Cypress Creek High,1
2021-05-24,Student,Corner Lake Middle,1
2021-05-24,Student,Acceleration West,1
2021-05-24,Employee,Whispering Oak Elementary,1
2021-05-24,Employee,Rolling Hills Elementary,1
2021-05-24,Employee,Ridgewood Park Elementary,1
2021-05-24,Employee,Operations,1
2021-05-24,Employee,Ocoee Middle,1
2021-05-24,Employee,OCPS Academic Center for Excellence,1
2021-05-24,Employee,Lake Nona High,1
2021-05-21,Vendor/Visitor,Hunter’s Creek Elementary,1
2021-05-21,Student,West Orange High,2
2021-05-21,Student,Union Park Middle,1
2021-05-21,Student,Timber Creek High,1
2021-05-21,Student,Lake Nona High,2
2021-05-21,Student,Frangus Elementary,1
2021-05-21,Student,Evans High,1
2021-05-21,Student,Baldwin Park Elementary,1
2021-05-21,Employee,Rolling Hills Elementary,1
2021-05-21,Employee,Lovell Elementary,1
2021-05-21,Employee,Cypress Springs Elementary,1
2021-05-20,Student,Wolf Lake Middle,2
2021-05-20,Student,Wolf Lake Elementary,1
2021-05-20,Student,Wekiva High,1
2021-05-20,Student,Timber Creek High,1
2021-05-20,Student,Southwest Middle,1
2021-05-20,Student,Liberty Middle,1
2021-05-20,Student,Lakemont Elementary,1
2021-05-20,Student,John Young Elementary,1
2021-05-20,Student,Howard Middle,1
2021-05-20,Student,Cypress Creek High,2
2021-05-20,Student,Citrus Elementary,1
2021-05-20,Student,Avalon Middle,1
2021-05-20,Employee,Pinewood Elementary,1
2021-05-20,Employee,Evans High,1
2021-05-19,Student,Thornebrooke Elementary,1
2021-05-19,Student,Sunset Park Elementary,1
2021-05-19,Student,Rock Lake Elementary,1
2021-05-19,Student,Memorial Middle,2
2021-05-19,Student,Lovell Elementary,3
2021-05-19,Student,Lake Nona High,1
2021-05-19,Student,Innovation Middle,1
2021-05-19,Student,Chain of Lakes Middle,1
2021-05-19,Student,Boone High,1
2021-05-18,Student,Windermere High,1
2021-05-18,Student,Ventura Elementary,1
2021-05-18,Student,Shingle Creek Elementary,1
2021-05-18,Student,Pinewood Elementary,1
2021-05-18,Student,Olympia High,2
2021-05-18,Student,Ocoee Middle,1
2021-05-18,Student,Ocoee High,1
2021-05-18,Student,Liberty Middle,2
2021-05-18,Student,Lake Nona High,2
2021-05-18,Student,Hunter’s Creek Middle,1
2021-05-18,Student,Cypress Creek High,3
2021-05-18,Student,Colonial High,1
2021-05-18,Student,Apopka High,2
2021-05-17,Student,Windy Ridge School (K-8),1
2021-05-17,Student,Westpointe Elementary,1
2021-05-17,Student,Timber Creek High,4
2021-05-17,Student,Sand Lake Elementary,1
2021-05-17,Student,Orlando Gifted Academy,1
2021-05-17,Student,Ocoee Middle,1
2021-05-17,Student,Millennia Elementary,1
2021-05-17,Student,Meadowbrook Middle,1
2021-05-17,Student,Liberty Middle,1
2021-05-17,Student,Lake Nona High,3
2021-05-17,Student,Horizon West Middle,1
2021-05-17,Student,Endeavor Elementary,1
2021-05-17,Student,Eagle Creek Elementary,1
2021-05-17,Student,Dr. Phillips High,6
2021-05-17,Student,Conway Middle,1
2021-05-17,Student,Chickasaw Elementary,1
2021-05-17,Student,Audubon Park School (K-8),1
2021-05-17,Employee,Wetherbee Elementary,1
2021-05-17,Employee,Sun Blaze Elementary,1
2021-05-17,Employee,Operations,2
2021-05-17,Employee,Ocoee High,1
2021-05-17,Employee,OCPS Academic Center for Excellence,1
2021-05-17,Employee,Lake Nona Middle,1
2021-05-17,Employee,Lake Nona High,1
2021-05-17,Employee,Dillard St. Elementary,1
2021-05-17,Employee,Carver Middle,1
2021-05-17,Employee,Acceleration West,1
2021-05-16,Employee,Wedgefield School (K-8),1
2021-05-14,Vendor/Visitor,Information Technology Services,1
2021-05-14,Student,Wyndham Lakes Elementary,1
2021-05-14,Student,Timber Springs Middle,1
2021-05-14,Student,South Creek Middle,1
2021-05-14,Student,Piedmont Lakes Middle,1
2021-05-14,Student,Orange Center Elementary,1
2021-05-14,Student,Ocoee Elementary,1
2021-05-14,Student,OCPS Academic Center for Excellence,1
2021-05-14,Student,Meadow Woods Elementary,1
2021-05-14,Student,Liberty Middle,3
2021-05-14,Student,Lake Nona Middle,1
2021-05-14,Student,Howard Middle,1
2021-05-14,Student,Engelwood Elementary,1
2021-05-14,Student,Cypress Creek High,1
2021-05-14,Student,Corner Lake Middle,1
2021-05-14,Student,Conway Middle,1
2021-05-14,Student,Colonial High 9th Grade Center,1
2021-05-14,Student,Colonial High,1
2021-05-14,Student,Castleview Elementary,1
2021-05-14,Student,Baldwin Park Elementary,1
2021-05-14,Employee,Winter Park High,1
2021-05-14,Employee,Millennia Elementary,2
2021-05-14,Employee,Evans High,2
2021-05-13,Vendor/Visitor,Lake Weston Elementary,1
2021-05-13,Student,Windermere Elementary,1
2021-05-13,Student,West Orange High,2
2021-05-13,Student,West Creek Elementary,1
2021-05-13,Student,University High,1
2021-05-13,Student,Union Park Middle,1
2021-05-13,Student,Timber Creek High,1
2021-05-13,Student,SunRidge Middle,1
2021-05-13,Student,Orange Technical College - Mid Florida,2
2021-05-13,Student,Orange Center Elementary,1
2021-05-13,Student,Meadow Woods Middle,1
2021-05-13,Student,Liberty Middle,2
2021-05-13,Student,Lawton Chiles Elementary,1
2021-05-13,Student,Lake Nona Middle,2
2021-05-13,Student,Innovation Middle,1
2021-05-13,Student,Eccleston Elementary,1
2021-05-13,Student,East River High,1
2021-05-13,Student,Avalon Elementary,1
2021-05-13,Student,Apopka Elementary,1
2021-05-13,Employee,Westridge Middle,1
2021-05-13,Employee,Facilities Services,1
2021-05-13,Employee,Evans High,1
2021-05-13,Employee,Apopka High,1
2021-05-12,Student,Wolf Lake Elementary,2
2021-05-12,Student,Winegard Elementary,2
2021-05-12,Student,Westridge Middle,1
2021-05-12,Student,Westbrooke Elementary,1
2021-05-12,Student,University High,3
2021-05-12,Student,Tangelo Park Elementary,1
2021-05-12,Student,Shingle Creek Elementary,2
2021-05-12,Student,Robinswood Middle,1
2021-05-12,Student,Oak Ridge High,1
2021-05-12,Student,Liberty Middle,1
2021-05-12,Student,Legacy Middle,1
2021-05-12,Student,Lawton Chiles Elementary,3
2021-05-12,Student,Lake Weston Elementary,1
2021-05-12,Student,Freedom Middle,1
2021-05-12,Student,Engelwood Elementary,1
2021-05-12,Student,Eagle’s Nest Elementary,1
2021-05-12,Student,Cypress Creek High,1
2021-05-12,Student,Conway Middle,1
2021-05-12,Employee,Keene’s Crossing Elementary,1
2021-05-11,Vendor/Visitor,Castleview Elementary,1
2021-05-11,Student,Windy Ridge School (K-8),1
2021-05-11,Student,Wekiva High,1
2021-05-11,Student,University High,3
2021-05-11,Student,Three Points Elementary,1
2021-05-11,Student,South Creek Middle,1
2021-05-11,Student,Ridgewood Park Elementary,1
2021-05-11,Student,Moss Park Elementary,1
2021-05-11,Student,Liberty Middle,2
2021-05-11,Student,Lancaster Elementary,1
2021-05-11,Student,Ivey Lane Elementary,1
2021-05-11,Student,Edgewater High,2
2021-05-11,Student,East River High,1
2021-05-11,Student,Clay Springs Elementary,1
2021-05-11,Student,Chickasaw Elementary,1
2021-05-11,Student,Carver Middle,2
2021-05-11,Student,Bridgewater Middle,1
2021-05-11,Student,Bonneville Elementary,1
2021-05-11,Student,Apopka High,1
2021-05-11,Employee,Ventura Elementary,1
2021-05-11,Employee,Pinar Elementary,1
2021-05-11,Employee,Memorial Middle,1
2021-05-11,Employee,Lancaster Elementary,1
2021-05-10,Student,Wolf Lake Middle,1
2021-05-10,Student,Windermere High,1
2021-05-10,Student,Vista Pointe Elementary,1
2021-05-10,Student,Timber Springs Middle,1
2021-05-10,Student,Southwood Elementary,1
2021-05-10,Student,Pershing School (K-8),1
2021-05-10,Student,Olympia High,2
2021-05-10,Student,NorthLake Park Community School,1
2021-05-10,Student,Liberty Middle,1
2021-05-10,Student,Lake Nona Middle,1
2021-05-10,Student,Hidden Oaks Elementary,1
2021-05-10,Student,Engelwood Elementary,1
2021-05-10,Student,Edgewater High,1
2021-05-10,Student,Eccleston Elementary,1
2021-05-10,Student,East River High,1
2021-05-10,Student,Deerwood Elementary,1
2021-05-10,Student,Corner Lake Middle,1
2021-05-10,Student,Colonial High,1
2021-05-10,Student,Chain of Lakes Middle,1
2021-05-10,Student,Boone High,2
2021-05-10,Student,Apopka Memorial Middle,2
2021-05-10,Employee,Wolf Lake Middle,1
2021-05-10,Employee,Lake Como School (K-8),1
2021-05-10,Employee,Hiawassee Elementary,1
2021-05-10,Employee,Freedom High,1
2021-05-10,Employee,Brookshire Elementary,1
2021-05-08,Student,Windy Ridge School (K-8),1
2021-05-08,Student,Maitland Middle,1
2021-05-08,Student,Legacy Middle,1
2021-05-08,Student,Colonial High,1
2021-05-08,Student,Blankner School (K-8),1
2021-05-08,Student,Apopka High,2
2021-05-07,Student,Winter Park 9th Grade Center,1
2021-05-07,Student,Windermere High,1
2021-05-07,Student,Water Spring Elementary,1
2021-05-07,Student,Timber Creek High,1
2021-05-07,Student,Southwest Middle,1
2021-05-07,Student,Orange Technical College - Orlando,1
2021-05-07,Student,Olympia High,1
2021-05-07,Student,Lake Sybelia Elementary,1
2021-05-07,Student,Ivey Lane Elementary,1
2021-05-07,Student,Cypress Creek High,3
2021-05-07,Student,Avalon Middle,1
2021-05-07,Employee,Teaching and Learning,1
2021-05-07,Employee,Positive Pathways Transition Center,1
2021-05-07,Employee,Magnolia School,1
2021-05-07,Employee,Lake Nona Middle,1
2021-05-07,Employee,Hillcrest Elementary,1
2021-05-07,Employee,Freedom High,1
2021-05-06,Student,Wolf Lake Middle,1
2021-05-06,Student,Winter Park 9th Grade Center,1
2021-05-06,Student,Westridge Middle,1
2021-05-06,Student,Westbrooke Elementary,2
2021-05-06,Student,West Orange High,2
2021-05-06,Student,Washington Shores Primary Learning Center,1
2021-05-06,Student,University High,1
2021-05-06,Student,Timber Springs Middle,1
2021-05-06,Student,Timber Lakes Elementary,1
2021-05-06,Student,SunRidge Middle,1
2021-05-06,Student,Southwest Middle,1
2021-05-06,Student,Riverdale Elementary,1
2021-05-06,Student,Millennia Elementary,1
2021-05-06,Student,Meadow Woods Elementary,1
2021-05-06,Student,Lockhart Elementary,1
2021-05-06,Student,Lake Nona Middle,1
2021-05-06,Student,Lake Nona High,2
2021-05-06,Student,Lake Como School (K-8),1
2021-05-06,Student,Hunter’s Creek Elementary,1
2021-05-06,Student,Horizon West Middle,1
2021-05-06,Student,Freedom Middle,1
2021-05-06,Student,Engelwood Elementary,1
2021-05-06,Student,Deerwood Elementary,1
2021-05-06,Student,Corner Lake Middle,1
2021-05-06,Student,Colonial High,1
2021-05-06,Student,Clay Springs Elementary,1
